1, 1, True
13142, Nothing, (0.00, 3.06, 0.00)
13160, Nothing, (0.00, 3.06, 0.00)
13183, Nothing, (0.00, 3.06, 0.00)
13203, Nothing, (0.00, 3.06, 0.00)
13221, Nothing, (0.00, 3.06, 0.00)
13240, Nothing, (0.00, 3.06, 0.00)
13262, Nothing, (0.00, 3.06, 0.00)
13282, Nothing, (0.00, 3.06, 0.00)
13304, Nothing, (0.00, 3.06, 0.00)
13324, Nothing, (0.00, 3.06, 0.00)
13345, Nothing, (0.00, 3.06, 0.00)
13366, Nothing, (0.00, 3.06, 0.00)
13408, Nothing, (0.00, 3.06, 0.00)
13408, Nothing, (0.00, 3.06, 0.00)
13424, Nothing, (0.00, 3.06, 0.00)
13441, Nothing, (0.00, 3.06, 0.00)
13463, Nothing, (0.00, 3.06, 0.00)
13484, Nothing, (0.00, 3.06, 0.00)
13499, Nothing, (0.00, 3.06, 0.00)
13520, Nothing, (0.00, 3.06, 0.00)
13541, Nothing, (0.00, 3.06, 0.00)
13561, Nothing, (0.00, 3.06, 0.00)
13578, Nothing, (0.00, 3.06, 0.00)
13600, Nothing, (0.00, 3.06, 0.00)
13623, Nothing, (0.00, 3.06, 0.00)
13642, Nothing, (0.00, 3.06, 0.00)
13659, Nothing, (0.00, 3.06, 0.00)
13682, Nothing, (0.00, 3.06, 0.00)
13700, Nothing, (0.00, 3.06, 0.00)
13723, Nothing, (0.00, 3.06, 0.00)
13741, Nothing, (0.00, 3.06, 0.00)
13763, Nothing, (0.00, 3.06, 0.00)
13781, Nothing, (0.00, 3.06, 0.00)
13802, Nothing, (0.00, 3.06, 0.00)
13819, Nothing, (0.00, 3.06, 0.00)
13842, Nothing, (0.00, 3.06, 0.00)
13859, ButtonPressed, (0.00, 3.06, 0.00)
